"committee_id",ribbon,"candidate_id",count,total,outer,inner,"inner_color","inner_img","inner_link",office,"office_full","outer_link",party,"party_full","party_full_orig","party_orig","ribbon_color",state,"state_full"
C00000935,opposing,H0KS03137,"670936.28","4187514.24",DCCC,"YODER, KEVIN","#d8241e","H0KS03137.jpg","https://www.fec.gov/data/candidate/H0KS03137/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",KS,Kansas
C00000935,opposing,H0VA02118,"146222.0","3651856.95",DCCC,"TAYLOR, SCOTT W. MR.","#d8241e","H0VA02118.jpg","https://www.fec.gov/data/candidate/H0VA02118/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",VA,Virginia
C00000935,opposing,H4CA45097,"319218.9","4454173.06",DCCC,"WALTERS, MIMI","#d8241e","H4CA45097.jpg","https://www.fec.gov/data/candidate/H4CA45097/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",CA,California
C00000935,opposing,H4IA03115,"298426.0","2599772.62",DCCC,"YOUNG, DAVID","#d8241e","H4IA03115.jpg","https://www.fec.gov/data/candidate/H4IA03115/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",IA,Iowa
C00000935,opposing,H4NY22051,"277083.05","2922211.72",DCCC,"TENNEY, CLAUDIA","#d8241e","H4NY22051.jpg","https://www.fec.gov/data/candidate/H4NY22051/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",NY,"New York"
C00000935,opposing,H6CA48245,"1694596.38","665625.61",DCCC,"BAUGH, SCOTT","#d8241e","H6CA48245.jpg","https://www.fec.gov/data/candidate/H6CA48245/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",CA,California
C00000935,opposing,H6IL06117,"96301.89","6437506.64",DCCC,"ROSKAM, PETER","#d8241e","H6IL06117.jpg","https://www.fec.gov/data/candidate/H6IL06117/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",IL,Illinois
C00000935,opposing,H8AZ02185,"285025.42","1331907.74",DCCC,"MARQUEZ PETERSON, LEA","#d8241e","H8AZ02185.jpg","https://www.fec.gov/data/candidate/H8AZ02185/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",AZ,Arizona
C00000935,opposing,H8CA39224,"631356.09","608341.17",DCCC,"HUFF, BOB","#d8241e","H8CA39224.jpg","https://www.fec.gov/data/candidate/H8CA39224/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",CA,California
C00000935,opposing,H8CA39232,"513305.06","694650.84",DCCC,"NELSON, SHAWN","#d8241e","H8CA39232.jpg","https://www.fec.gov/data/candidate/H8CA39232/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",CA,California
C00000935,opposing,H8CA49124,"1180382.17","425255.86",DCCC,"CHAVEZ, ROCKY","#d8241e","H8CA49124.jpg","https://www.fec.gov/data/candidate/H8CA49124/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",CA,California
C00000935,opposing,H8GA06286,"4971327.01","8466377.42",DCCC,"HANDEL, KAREN CHRISTINE","#d8241e","H8GA06286.jpg","https://www.fec.gov/data/candidate/H8GA06286/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",GA,Georgia
C00000935,opposing,H8KS02199,"451585.57","1069280.03",DCCC,"WATKINS, STEVE","#d8241e","H8KS02199.jpg","https://www.fec.gov/data/candidate/H8KS02199/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",KS,Kansas
C00000935,opposing,H8MT01182,"40000.0","9426247.52",DCCC,"GIANFORTE, GREG","#d8241e","H8MT01182.jpg","https://www.fec.gov/data/candidate/H8MT01182/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",MT,Montana
C00000935,opposing,H8OH12180,"629853.46","2312129.96",DCCC,"BALDERSON, TROY","#d8241e","H8OH12180.jpg","https://www.fec.gov/data/candidate/H8OH12180/?cycle=2018",H,House,"https://www.fec.gov/data/committee/C00000935/?cycle=2018",REP,"Republican Party","Republican Party",REP,"#d9d9d9",OH,Ohio
